Name,Address,Data Type,Sub Elem Type,Data Type Size,Data Final Type
capt_bas_moulin,000001,Bool,Any,1,Bool
sign_ext_son,000002,Bool,Any,1,Bool
capt_rot_blute,000003,Bool,Any,1,Bool
inter_shunt_secu,000004,Bool,Any,1,Bool
capt_ensach,000005,Bool,Any,1,Bool
run_powerflex,000006,Bool,Any,1,Bool
moteur_succion,000007,Bool,Any,1,Bool
moteur_son,000008,Bool,Any,1,Bool
battage,000009,Bool,Any,1,Bool
out_sign_son,000010,Bool,Any,1,Bool
moteur_bluterie,000011,Bool,Any,1,Bool
courrant_meule,000012,Real,Any,4,Float
stop_powerflex_true,000044,Bool,Any,1,Bool
stop_powerflex,000045,AnyArray,Bool,5,Bool
start_poxerflex,000050,AnyArray,Bool,1,Bool
start_bluterie,000051,AnyArray,Bool,2,Bool
current_meule,000053,AnyArray,Real,4,Float
t_meule,000085,AnyArray,Int,2,Int
capt_rot_blut,000101,AnyArray,Bool,1,Bool
alarm_entret,000102,AnyArray,Bool,1,Bool
horametre,000103,AnyArray,Dint,4,DInt
retour_freq_meule,000135,Real,Any,4,Float
stop_powerflex_vibrat,000167,Bool,Any,1,Bool
reg_intens_meule,000168,AnyArray,Real,4,Float
capt_ensach_alarm,000200,AnyArray,Bool,1,Bool
capt_bas_alarm,000201,AnyArray,Bool,1,Bool
intensite_meule,000202,AnyArray,Bool,1,Bool
arret_vibra,000203,AnyArray,Bool,1,Bool
succion_force,000204,AnyArray,Bool,1,Bool
vibra_eleve,000205,AnyArray,Bool,1,Bool
vidan_trem,000206,AnyArray,Bool,1,Bool
speed_ref_vibrat,000207,Real,Any,4,Float
start_powerflex_vibrat,000239,Bool,Any,1,Bool
cv_manuel,000240,Real,Any,4,Float
